City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salalah,17.0151,54.0924,294.2,73,0,2.06,OM,1677462632
1,rikitea,-23.1203,-134.9692,300.21,73,1,6.64,PF,1677462632
2,mlonggo,-6.5333,110.7,298.96,86,96,7.6,ID,1677462633
3,taltal,-25.4,-70.4833,295.13,74,3,2.19,CL,1677462633
4,sola,-13.8833,167.55,301.57,77,59,8.28,VU,1677462633
5,sitka,57.0531,-135.33,274.09,55,75,4.12,US,1677462633
6,mahebourg,-20.4081,57.7,297.18,94,20,1.54,MU,1677462634
7,luderitz,-26.6481,15.1594,289.93,74,6,6.47,NA,1677462634
8,punta arenas,-53.15,-70.9167,285.21,76,75,6.17,CL,1677462635
9,mataura,-46.1927,168.8643,290.64,41,44,2.02,NZ,1677462635
10,steinbach,50.1667,8.5667,273.03,65,0,6.17,DE,1677462635
11,arys,42.4252,68.795,273.1,68,32,2.72,KZ,1677462636
12,arraial do cabo,-22.9661,-42.0278,297.77,88,100,9.93,BR,1677462636
13,pankrushikha,53.8319,80.3406,264.11,91,100,5.65,RU,1677462636
14,new norfolk,-42.7826,147.0587,293.55,42,66,1.78,AU,1677462637
15,leh,34.1667,77.5833,259.87,93,93,1.07,IN,1677462637
16,bluff,-46.6,168.3333,290.82,69,31,3.45,NZ,1677462637
17,lorengau,-2.0226,147.2712,298.53,87,100,2.09,PG,1677462638
18,ushuaia,-54.8,-68.3,285.96,71,75,5.14,AR,1677462638
19,santa cruz,-17.8,-63.1667,297.85,94,75,4.12,BO,1677462379
20,necochea,-38.5473,-58.7368,287.4,55,4,1.58,AR,1677462638
21,georgetown,5.4112,100.3354,301.11,69,20,2.57,MY,1677462543
22,dedza,-14.3779,34.3332,288.79,95,100,1.65,MW,1677462639
23,ribas do rio pardo,-20.4431,-53.7592,296.39,88,100,2.08,BR,1677462639
24,killin,33.6123,-91.7412,293.2,88,75,2.57,US,1677462639
25,honiara,-9.4333,159.95,303.89,69,88,1.86,SB,1677462640
26,hofn,64.2539,-15.2082,278.52,81,100,3.28,IS,1677462640
27,tuktoyaktuk,69.4541,-133.0374,251.15,77,100,2.57,CA,1677462640
28,chokurdakh,70.6333,147.9167,247.83,96,100,4.54,RU,1677462641
29,madikeri,12.4167,75.7333,287.93,56,1,1.57,IN,1677462641
30,qaanaaq,77.484,-69.3632,245.89,69,30,2.91,GL,1677462641
31,mehamn,71.0357,27.8492,276.12,81,100,6.17,NO,1677462641
32,cabra,37.4725,-4.4421,277.55,78,3,0.79,ES,1677462642
33,puerto ayora,-0.7393,-90.3518,297.9,96,96,1.79,EC,1677462642
34,san andres,12.5847,-81.7006,299.16,73,20,3.09,CO,1677462642
35,nanortalik,60.1432,-45.2371,270.36,86,100,6.46,GL,1677462643
36,bredasdorp,-34.5322,20.0403,290.16,89,0,1.96,ZA,1677462643
37,avarua,-21.2078,-159.775,302.18,65,20,2.06,CK,1677462643
38,hermanus,-34.4187,19.2345,290.82,87,0,4.07,ZA,1677462644
39,garowe,8.4054,48.4845,291.28,91,55,3.83,SO,1677462644
40,yellowknife,62.456,-114.3525,257.44,85,20,1.54,CA,1677462553
41,garissa,-0.4536,39.6401,297.82,70,100,3.55,KE,1677462644
42,cape town,-33.9258,18.4232,293.36,72,0,8.05,ZA,1677462600
43,atar,20.5169,-13.0499,292.05,28,100,3.76,MR,1677462590
44,kapaa,22.0752,-159.319,299.14,78,40,9.77,US,1677462490
45,durazno,-33.4131,-56.5006,291.82,52,0,7.64,UY,1677462383
46,guerrero negro,27.9769,-114.0611,286.77,58,0,7.53,MX,1677462645
47,suntar,62.1444,117.6319,249.83,87,80,2.33,RU,1677462645
48,puerto leguizamo,-0.1934,-74.7819,297.4,76,95,1.33,CO,1677462646
49,hobart,-42.8794,147.3294,293.74,64,75,7.72,AU,1677462492
50,barrow,71.2906,-156.7887,247.16,76,100,8.75,US,1677462646
51,saskylakh,71.9167,114.0833,253.27,97,100,8.31,RU,1677462646
52,lompoc,34.6391,-120.4579,284.73,74,100,3.09,US,1677462472
53,paithan,19.4833,75.3833,292.97,25,0,1.5,IN,1677462647
54,tiksi,71.6872,128.8694,241.12,94,100,4.91,RU,1677462647
55,butaritari,3.0707,172.7902,300.75,76,100,3.7,KI,1677462647
56,souillac,-20.5167,57.5167,295.36,94,20,1.54,MU,1677462648
57,port alfred,-33.5906,26.891,291.58,95,6,4.96,ZA,1677462648
58,vaini,-21.2,-175.2,303.24,79,75,6.17,TO,1677462648
59,husavik,66.0449,-17.3389,274.0,84,1,4.82,IS,1677462650
60,coihaique,-45.5752,-72.0662,286.12,67,0,2.06,CL,1677462508
61,port-gentil,-0.7193,8.7815,300.39,75,100,3.99,GA,1677462650
62,taoudenni,22.6783,-3.9836,292.44,25,0,4.13,ML,1677462650
63,alofi,-19.0595,-169.9187,303.09,62,87,4.63,NU,1677462651
64,longyearbyen,78.2186,15.6401,266.06,68,20,8.75,SJ,1677462651
65,agucadoura,41.4318,-8.7804,280.42,79,0,2.09,PT,1677462651
66,amga,60.8953,131.9608,257.35,85,100,4.71,RU,1677462652
67,saldanha,-33.0117,17.9442,290.45,86,0,6.44,ZA,1677462652
68,alice springs,-23.7,133.8833,305.9,27,62,6.17,AU,1677462652
69,lebu,-37.6167,-73.65,287.1,78,30,9.67,CL,1677462483
70,cairns,-16.9167,145.7667,303.12,70,40,4.63,AU,1677462653
